"CO001","CO002","CO003","CO004","CO005","CO006","CO007","CO008","CO009","CO010","CO011","CO012","CO013","CO014","CO015","CO016","CO017","CO018","CO019","CO020","CO021","CO022","CO023","CO024","CO025","CO026","CO027","CO028","CO029","CO030","CO031","CO032","CO033","CO034","CO035","CO036","CO037","CO038","CO039","CO040","CO041","CO042","CO043","CO044","CO045","CO046","CO047","CO048","CO049","CO050","CO051","CO052","CO053","ENTHA","TEMPE","Points:0","Points:1","Points:2"
1.5855e-133,1.9537e-136,1.7217e-135,0.1165,2.4271e-134,8.3383e-132,9.2333e-136,1.7512e-136,1.6559e-147,1.4744e-144,2.9625e-140,2.3882e-141,1.9e-135,0.5,2.6829e-132,7.1212e-132,6.1987e-140,3.8939e-134,2.2898e-141,2.7012e-136,5.4403e-135,7.0952e-145,1.1344e-133,3.6084e-141,1.0641e-133,5.0175e-138,1.0749e-133,2.2147e-140,1.7177e-134,1.8812e-136,9.9311e-140,2.3539e-140,4.8739e-139,1.0746e-135,1.087e-140,5.9397e-134,6.7011e-135,4.225e-137,2.7611e-138,9.2838e-145,4.4503e-135,6.3019e-140,3.4613e-145,8.0911e-136,3.4796e-138,2.3365e-135,1.1608e-140,0.3835,2.16e-162,3.8183e-138,6.1908e-136,3.1024e-138,4.1132e-136,-2.322e+06,300,0.00026756,0,0
1.2072e-126,1.3103e-129,1.1552e-128,0.1165,1.6277e-127,6.1874e-125,6.8708e-129,1.3121e-129,1.3063e-140,1.0725e-137,2.1641e-133,1.7411e-134,1.4248e-128,0.5,2.0331e-125,5.2361e-125,4.5184e-133,2.9465e-127,1.6788e-134,1.9934e-129,4.0925e-128,5.2781e-138,8.7164e-127,2.7236e-134,8.1321e-127,3.7436e-131,8.1702e-127,1.6749e-133,1.3125e-127,1.4398e-129,6.6626e-133,1.626e-133,3.6427e-132,8.2675e-129,7.2888e-134,4.2418e-127,5.0206e-128,3.1974e-130,2.007e-131,6.266e-138,3.4078e-128,4.7626e-133,2.5156e-138,6.1901e-129,2.6549e-131,1.7864e-128,8.6237e-134,0.3835,1.7204e-155,2.9079e-131,4.6912e-129,2.341e-131,3.1078e-129,-2.322e+06,300,0.001204,0.00013423,0
1.2831e-128,1.4375e-131,1.2672e-130,0.1165,1.7857e-129,6.6197e-127,7.3573e-131,1.402e-131,1.372e-142,1.1562e-139,2.3304e-135,1.876e-136,1.5222e-130,0.5,2.1638e-127,5.6148e-127,4.8623e-135,3.1388e-129,1.806e-136,2.1402e-131,4.3677e-130,5.6536e-140,9.2401e-129,2.9038e-136,8.6355e-129,4.0059e-133,8.691e-129,1.7846e-135,1.3938e-129,1.5282e-131,7.3087e-135,1.771e-135,3.8954e-134,8.7605e-131,7.9965e-136,4.5822e-129,5.3651e-130,3.4043e-132,2.1617e-133,6.8637e-140,3.6165e-130,5.0754e-135,2.7126e-140,6.5711e-131,2.8207e-133,1.8967e-130,9.2387e-136,0.3835,1.803e-157,3.0913e-133,4.9952e-131,2.4961e-133,3.3123e-131,-2.322e+06,300,0.00093645,0.00053691,0
4.5844e-135,5.974e-138,5.2636e-137,0.1165,7.4218e-136,2.4406e-133,2.6997e-137,5.1037e-138,4.7221e-149,4.3582e-146,8.7393e-142,7.0518e-143,5.5347e-137,0.5,7.7749e-134,2.0933e-133,1.8298e-141,1.1293e-135,6.7436e-143,7.9303e-138,1.5824e-136,2.0748e-146,3.2657e-135,1.0477e-142,3.0711e-135,1.4652e-139,3.1105e-135,6.4244e-142,4.9581e-136,5.4255e-138,3.0364e-141,7.1114e-142,1.422e-140,3.0915e-137,3.3239e-142,1.769e-135,1.953e-136,1.2252e-138,8.1612e-140,2.8316e-146,1.2832e-136,1.8288e-141,1.0235e-146,2.334e-137,1.0051e-139,6.7422e-137,3.3966e-142,0.3835,6.1116e-164,1.1039e-139,1.7942e-137,9.0093e-140,1.1937e-137,-2.322e+06,300,0,0.0009396,0
1.2709e-127,1.4012e-130,1.2353e-129,0.1165,1.7406e-128,6.5343e-126,7.2571e-130,1.3845e-130,1.3676e-141,1.1363e-138,2.2917e-134,1.8442e-135,1.5034e-129,0.5,2.1417e-126,5.5358e-126,4.7842e-134,3.1049e-128,1.7769e-135,2.108e-130,4.3161e-129,5.5755e-139,9.1649e-128,2.8711e-135,8.5572e-128,3.9528e-132,8.6039e-128,1.7651e-134,1.3811e-128,1.5147e-130,7.1242e-134,1.7324e-134,3.8452e-133,8.6913e-130,7.7943e-135,4.5008e-128,5.2979e-129,3.3687e-131,2.1259e-132,6.6953e-139,3.5849e-129,5.0195e-134,2.6656e-139,6.5127e-130,2.7943e-132,1.8796e-129,9.1106e-135,0.3835,1.7997e-156,3.0614e-132,4.9424e-130,2.4679e-132,3.2756e-130,-2.322e+06,300,0.0010702,0.00013423,0
1.3593e-133,1.6695e-136,1.4713e-135,0.1165,2.074e-134,7.1491e-132,7.9456e-136,1.5057e-136,1.4132e-147,1.2717e-144,2.5548e-140,2.06e-141,1.6336e-135,0.5,2.3005e-132,6.1052e-132,5.3301e-140,3.3432e-134,1.9745e-141,2.3275e-136,4.6751e-135,6.1085e-145,9.7165e-134,3.0993e-141,9.1215e-134,4.3173e-138,9.2221e-134,1.9016e-140,1.4725e-134,1.6122e-136,8.4867e-140,2.0146e-140,4.1914e-139,9.2022e-136,9.2884e-141,5.0902e-134,5.7623e-135,3.6231e-137,2.3751e-138,7.9368e-145,3.8138e-135,5.4115e-140,2.9856e-145,6.9348e-136,2.9836e-138,2.0028e-135,9.9897e-141,0.3835,1.8399e-162,3.2749e-138,5.3141e-136,2.6648e-138,3.5323e-136,-2.322e+06,300,0.00026756,0.0010738,0
1.5859e-133,1.954e-136,1.7219e-135,0.1165,2.4274e-134,8.3402e-132,9.2359e-136,1.7517e-136,1.6562e-147,1.4749e-144,2.9634e-140,2.3889e-141,1.9005e-135,0.5,2.6835e-132,7.1228e-132,6.2003e-140,3.8949e-134,2.2905e-141,2.702e-136,5.4417e-135,7.0972e-145,1.1347e-133,3.6093e-141,1.0643e-133,5.0189e-138,1.0751e-133,2.2152e-140,1.7181e-134,1.8816e-136,9.9325e-140,2.3543e-140,4.8752e-139,1.0748e-135,1.0871e-140,5.9409e-134,6.7029e-135,4.226e-137,2.7619e-138,9.2852e-145,4.4513e-135,6.3035e-140,3.4624e-145,8.0929e-136,3.4804e-138,2.337e-135,1.1612e-140,0.3835,2.1604e-162,3.8192e-138,6.1923e-136,3.1032e-138,4.1142e-136,-2.322e+06,300,0.00026756,0.00013423,0
1.3903e-129,1.585e-132,1.3971e-131,0.1165,1.9689e-130,7.1967e-128,7.9915e-132,1.5217e-132,1.4802e-143,1.2592e-140,2.5366e-136,2.0425e-137,1.6519e-131,0.5,2.3459e-128,6.1117e-128,5.2964e-136,3.403e-130,1.9649e-137,2.3268e-132,4.7383e-131,6.1407e-141,1.0001e-129,3.149e-137,9.3521e-130,4.3497e-134,9.4178e-130,1.9349e-136,1.5095e-130,1.6547e-132,8.0582e-136,1.9444e-136,4.2291e-135,9.4806e-132,8.8171e-137,5.0074e-130,5.8229e-131,3.6913e-133,2.3554e-134,7.5609e-141,3.9158e-131,5.5034e-136,2.9546e-141,7.1156e-132,3.0553e-134,2.054e-131,1.0037e-136,0.3835,1.9437e-158,3.3492e-134,5.4147e-132,2.707e-134,3.5916e-132,-2.322e+06,300,0.00080268,0.00013423,0
1.4947e-131,1.7677e-134,1.558e-133,0.1165,2.196e-132,7.795e-130,8.648e-134,1.6435e-134,1.5756e-145,1.3716e-142,2.7596e-138,2.2233e-139,1.7837e-133,0.5,2.5255e-130,6.6374e-130,5.766e-138,3.665e-132,2.1354e-139,2.524e-134,5.1117e-133,6.6457e-143,1.0724e-131,3.3939e-139,1.0044e-131,4.7035e-136,1.013e-131,2.0842e-138,1.6212e-132,1.7764e-134,8.9865e-138,2.1501e-138,4.5708e-137,1.0162e-133,9.8342e-139,5.4841e-132,6.2891e-133,3.9755e-135,2.5663e-136,8.4172e-143,4.203e-133,5.9292e-138,3.2191e-143,7.6394e-134,3.2828e-136,2.2056e-133,1.0867e-138,0.3835,2.063e-160,3.6004e-136,5.8292e-134,2.9177e-136,3.8698e-134,-2.322e+06,300,0.00053512,0.00013423,0
1.6992e-134,2.1499e-137,1.8944e-136,0.1165,2.6709e-135,8.9867e-133,9.9433e-137,1.8832e-137,1.7637e-148,1.5955e-145,3.2029e-141,2.5831e-142,2.0427e-136,0.5,2.8781e-133,7.6902e-133,6.7055e-141,4.1784e-135,2.4737e-142,2.9141e-137,5.8451e-136,7.641e-146,1.2134e-134,3.874e-142,1.1394e-134,5.4002e-139,1.1523e-134,2.3767e-141,1.8394e-135,2.0137e-137,1.0928e-140,2.5752e-141,5.2437e-140,1.1491e-136,1.1962e-141,6.4539e-135,7.206e-136,4.5338e-138,2.9886e-139,1.0204e-145,4.7634e-136,6.7641e-141,3.7463e-146,8.6619e-137,3.7272e-139,2.5017e-136,1.2505e-141,0.3835,2.293e-163,4.0916e-139,6.641e-137,3.331e-139,4.415e-137,-2.322e+06,300,0.00013378,0.00053691,0
